SEWERAGE_SERVICE,Wastewater - Wastewater Access
ENERGY_LINE_ITEMS,Water Usage - Step 1 0.4795 kl x 90 = 43.1550 kl @ $2.2919/kl
ENERGY_LINE_ITEMS,Water Usage - Step 2 0.1872 kl x 90 = 16.8450 kl @ $2.7506/kl
ENERGY_LINE_ITEMS,Water Usage - Step 2 0.3761 kl x 90 = 33.8450 kl @ $2.7506/kl
SERVICE_OTHER,Minor Trade Waste - Minor Trade Waste B Volume
SEWERAGE_SERVICE,Service Charges - Wastewater Access
ENERGY_OTHER,Wastewater - Wastewater Volume
ENERGY_LINE_ITEMS,Water Usage - Water Volume
ENERGY_SERVICE,Fire Service - Fire Service
SERVICE_OTHER,Minor Trade Waste Category A - Minor Trade Waste Category A
SEWERAGE_SERVICE,Wastewater Access - Wastewater Access
ENERGY_OTHER,Wastewater Volume - Wastewater Volume
ENERGY_SERVICE,Water Service Charge - Water Service Charge
ENERGY_LINE_ITEMS,Water Volume - Step 1
ENERGY_OTHER,Trade Waste - Biochemical Oxygen Demand
ENERGY_OTHER,Trade Waste - Suspended Solids
SEWERAGE_LINE_ITEMS,Trade Waste - Trade Waste Volume
ENERGY_SERVICE,Service Charge 45.0 KG LPG Cyl
OTHER_CHARGES,Credit For 88l Leaked Gas
ENERGY_OTHER,Elect_05Mar25-02Jun25
ENERGY_OTHER,Elect
ENERGY_OTHER,Elect_29May25-27Jun25
ENERGY_OTHER,Elect_Jun25
ENERGY_OTHER,Elect_20Jun25-20Jul25
ENERGY_OTHER,Elect_Mar25-June25
ENERGY_OTHER,Elect_01May-31May25
ENERGY_OTHER,Biochemical Oxygen Demand
ENERGY_OTHER,Suspended Solids
SEWERAGE_LINE_ITEMS,Trade Waste Volume
SEWERAGE_SERVICE,Wastewater Access
ENERGY_LINE_ITEMS,Water Volume Step 1 0.4795 kl
ENERGY_LINE_ITEMS,Water Volume Step 2 0.1872 kl
ENERGY_LINE_ITEMS,Water Volume Step 2 0.3761 kl
SERVICE_OTHER,Minor Trade Waste B Volume
ENERGY_OTHER,Wastewater Volume
ENERGY_LINE_ITEMS,Water Volume
SERVICE_OTHER,Minor Trade Waste Category A
EXTRA_CHARGES,ADJUSTMENTS - Guaranteed Service Levy
OTHER_CHARGES,ADJUSTMENTS - Invoice adjustment for period 2025-07-01 to 2025-07-31
CERTIFICATES,ENVIRONMENTAL CHARGES - Environment Fee VEEC (15.13%)
NETWORK_SERVICE,NETWORK CHARGES - Fixed
OTHER_CHARGES,FEES - Network - Service Truck Disconnect/Reconnect at pole/pitBH
OTHER_CHARGES,FEES - Network - Field Officer Visit NH
NETWORK_LINE_ITEMS,NETWORK CHARGES - Dedicated circuit
NETWORK_LINE_ITEMS,NETWORK CHARGES - Flat Energy Block 1
ENERGY_LINE_ITEMS,RETAIL USAGE CHARGES - Controlled Load
CERTIFICATES,ENVIRONMENTAL CHARGES - IREC Charge (82.09%)
DEMANDS,NETWORK CHARGES (CLLVT1) - Demand
NETWORK_LINE_ITEMS,NETWORK CHARGES (CLLVT1) - Off Peak Energy
NETWORK_LINE_ITEMS,NETWORK CHARGES (CLLVT1) - Peak Energy
CERTIFICATES,ENVIRONMENTAL CHARGES - Energy Productivity Scheme
NETWORK_LINE_ITEMS,NETWORK CHARGES (B2R) - Controlled Load
NETWORK_SERVICE,NETWORK CHARGES (B2R) - Fixed
NETWORK_LINE_ITEMS,NETWORK CHARGES (B2R) - Peak Energy
METERING,NETWORK CHARGES (B2R) - Metering Service Charge
NETWORK_SERVICE,NETWORK CHARGES (RTOU) - Fixed
METERING,NETWORK CHARGES (RTOU) - Metering Service Charge
NETWORK_LINE_ITEMS,NETWORK CHARGES (RTOU) - Off Peak Energy
NETWORK_LINE_ITEMS,NETWORK CHARGES (RTOU) - Peak Energy
NETWORK_LINE_ITEMS,NETWORK CHARGES (RTOU) - Solar Sponge Energy
OTHER_CHARGES,FEES - Network - 200 CT Mtr SType 0-150KVA NC BH
NETWORK_SERVICE,NETWORK CHARGES (A210) - Fixed
OTHER_CHARGES,ADJUSTMENTS - New Connection Fee Bus Hrs
OTHER_CHARGES,Environmental Charges - 2023-2024 PDRS Charge
CERTIFICATES,Environmental Charges - ESS Certificate Charge (10.50%)
MARKET,Market Charges - R2 Market Charges
OTHER_CHARGES,Market Charges - UFE Charges
CAPACITIES,Network Charges - Capacity kVA
NETWORK_LINE_ITEMS,Network Charges - Off-Peak Energy
CERTIFICATES,Environmental Charges - STC Cost Allocation
OTHER_CHARGES,Market Charges - Participant Fixed Fee - $0.0263/day
SERVICE_OTHER,Minor Trade Waste B Volume
SEWERAGE_SERVICE,Wastewater Access
ENERGY_OTHER,Wastewater Volume
ENERGY_LINE_ITEMS,Water Volume
ENERGY_SERVICE,Other authorities' charges - Parks
ENERGY_SERVICE,Other authorities' charges - Waterways charge
ENERGY_SERVICE,Other authorities' charges - Waterways and Drainage
ENERGY_SERVICE,Fire service (1 @ $34.08 per unit)
SEWERAGE_LINE_ITEMS,Sewage disposal
SEWERAGE_SERVICE,Sewerage service charge
ENERGY_LINE_ITEMS,Water usage
ENERGY_SERVICE,Other charges and rebates - Fire service (1 @ $34.08 per unit)
ENERGY_OTHER,Other charges and rebates - T/Waste Agreemnt Fee
ENERGY_OTHER,Recycled water - Recycled water
ENERGY_LINE_ITEMS,Step 1
ENERGY_LINE_ITEMS,Step 2
ENERGY_SERVICE,Parks
ENERGY_SERVICE,Waterways and Drainage
SEWERAGE_SERVICE,Private extension supply fee
ENERGY_SERVICE,Other authorities' charges - Waterways and Drainage charge
ENERGY_LINE_ITEMS,Water usage - Step 1
ENERGY_LINE_ITEMS,Water usage - 13 kl @ $3.6826 per kl
ENERGY_SERVICE,Fire service charges - Service (2 @ $34.86 per unit)
ENERGY_OTHER,Fire service charges - Usage
ENERGY_OTHER,Other charges and rebates - TW Agreed Volume Qrt
ENERGY_LINE_ITEMS,Water usage - Step 2
ENERGY_SERVICE,Other charges and rebates - Fire service charges Service (2 @ $34.86 per unit)
OTHER_CHARGES,Adjustments - Invoice adjustment for period 2024-10-23 to 2024-10-31
ENERGY_LINE_ITEMS,Energy Charges - Total Energy
MARKET,Market Charges - Participant Charge
OTHER_CHARGES,Market Charges - Participant Fixed Fee
OTHER_CHARGES,Participant Fixed Fee
OTHER_CHARGES,Market Charges - UFE Charges - Feb 25
DEMANDS,Network Charges - DUoS Actual Demand Charge
NETWORK_LINE_ITEMS,Network Charges - DUoS Volume Charge
NETWORK_SERVICE,Network Charges - Jurisdictional Scheme Fixed Charge
NETWORK_LINE_ITEMS,Network Charges - Jurisdictional Scheme Volume Charge
DEMANDS,Network Charges - TUoS Actual Demand Charge
NETWORK_LINE_ITEMS,Network Charges - TUoS Volume Charge
ENERGY_LINE_ITEMS,Gas Supplied
OTHER_CHARGES,"Transfer Receipt#0903928559 To Suspensed, Waiting For Remittance From Customer, Accidently Allocated The Whole Payment Into Account 056023245"
ENERGY_SERVICE,Service Charge 190.0 KG LPG Cyl
OTHER_CHARGES,Transfer To 2nd Acc 056014670
EXTRA_CHARGES,Australian Government Energy Bill Relief
ENERGY_LINE_ITEMS,Peak
ENERGY_LINE_ITEMS,Off peak
ENERGY_LINE_ITEMS,Shoulder
ENERGY_OTHER,Fire service charges Usage
ENERGY_SERVICE,Other charges and rebates - Fire service charges Service
ENERGY_OTHER,Other charges and rebates - Fire service charges Usage
SEWERAGE_LINE_ITEMS,Sewage disposal - Sewage disposal
ENERGY_LINE_ITEMS,Water usage - Water usage
ENERGY_OTHER,Excess Gas Charge Surcharge
ENERGY_OTHER,Other Transactions - Excess Gas Charge Surcharge
ENERGY_OTHER,Excess Gas Charge Surcharge on 19.49GJ @ weighted average premium of $11.15
ENERGY_OTHER,Other Transactions - Excess Gas Charge Surcharge on 19.49GJ @ weighted average premium of $11.15
ENERGY_OTHER,Excess Gas Charge Surcharge on 141.27GJ @ weighted average premium of $9.46
ENERGY_OTHER,Other Transactions - Excess Gas Charge Surcharge on 141.27GJ @ weighted average premium of $9.46
ENERGY_SERVICE,Gas Transportation Charge (fixed)
ENERGY_LINE_ITEMS,Natural Gas Industrial Tariff
CERTIFICATES,Environmental Charges - LGC
CERTIFICATES,Environmental Charges - STC
MARKET,Market Charges - AEMO Ancillary Charge
MARKET,Market Charges - AEMO Pool Fees
MARKET,Market Charges - Unaccounted For Energy
METERING,Metering & Other Charges - Metering
NETWORK_SERVICE,Network Charges - Network Fixed Charge
DEMANDS,Network Charges - Network Non-Summer Demand
NETWORK_LINE_ITEMS,Network Charges - Network Volume Off Peak
NETWORK_LINE_ITEMS,Network Charges - Network Volume Peak
CERTIFICATES,Environmental Charges - ESC
ENERGY_SERVICE,Metering & Other Charges - Fixed Service Fee
OTHER_CHARGES,Metering & Other Charges - Overdue Interest Charge
CAPACITIES,Network Charges - Daily Capacity - Peak
NETWORK_LINE_ITEMS,Network Charges - Energy Prices - Off Peak
NETWORK_LINE_ITEMS,Network Charges - Energy Prices - Peak
MARKET,Market Charges - Unaccounted For Energy July 2025
DISCOUNTS,Metering & Other Charges - Early Payment Discount
DEMANDS,Network Charges - DUOS Peak Demand
DEMANDS,Network Charges - DUOS Shoulder Demand
NETWORK_LINE_ITEMS,Network Charges - DUOS Volume Shoulder
NETWORK_SERVICE,Network Charges - Jurisdictional Fixed
NETWORK_LINE_ITEMS,Network Charges - Jurisdictional Volume
METERING,Network Charges - Metering Fixed Charge
NETWORK_LINE_ITEMS,Network Charges - TUOS Volume Off Peak
NETWORK_LINE_ITEMS,Network Charges - TUOS Volume Peak
NETWORK_LINE_ITEMS,Network Charges - TUOS Volume Shoulder
MARKET,Market Charges - AEMO Ancillary Adjustment
DEMANDS,Network Charges - Network Demand Charge
NETWORK_OTHER,Network Charges - Data Adjustment (Network)
DEMANDS,Network Charges - Rolling Demand
MARKET,Market Charges - AEMO RERT Recovery
DEMANDS,Network Charges - Demand Rate - Off Peak
DEMANDS,Network Charges - Demand Rate - Peak
DEMANDS,Network Charges - Demand Rate - Shoulder
NETWORK_LINE_ITEMS,Network Charges - Energy Rate - Off Peak
NETWORK_LINE_ITEMS,Network Charges - Energy Rate - Peak
NETWORK_LINE_ITEMS,Network Charges - Energy Rate - Shoulder
DEMANDS,Network Charges - DPPC Demand
NETWORK_SERVICE,Network Charges - DPPC Supply
NETWORK_LINE_ITEMS,Network Charges - DPPC Volume Flat
DEMANDS,Network Charges - DUOS Demand
NETWORK_SERVICE,Network Charges - DUOS Supply
NETWORK_LINE_ITEMS,Network Charges - DUOS Volume Flat
DEMANDS,Network Charges - Demand Critical Peak
CAPACITIES,Network Charges - Network Demand Capacity
NETWORK_SERVICE,Network Charges - Network Daily Charge
ENERGY_SERVICE,Service Charge 15.0 KG LPG Cyl
ENERGY_SERVICE,Service Charge 9.0 KG LPG Cyl
ENERGY_SERVICE,Service Charge SNG CAGE X 1
EXTRA_CHARGES,Charity Rebate
SEWERAGE_SERVICE,Sewerage Service Charge Wangaratta
ENERGY_SERVICE,Water Service Charge 80mm Wangaratta
ENERGY_LINE_ITEMS,Water Usage Wangaratta
ENERGY_SERVICE,Water Service Charge 80mm Yarrawonga
OTHER_CHARGES,ADJUSTMENTS/CREDITS - Interest Charges
SEWERAGE_SERVICE,Sewer Service
SEWERAGE_LINE_ITEMS,Sewer Usage
ENERGY_SERVICE,Water Service
ENERGY_LINE_ITEMS,Water Usage Charges
ENERGY_SERVICE,Drainage Service
ENERGY_LINE_ITEMS,Water Usage - Water Usage Charges
ENERGY_SERVICE,ADJUSTMENTS/CREDITS - Interest Charges for this Bill Period
ENERGY_SERVICE,Base Water Service Charge
ENERGY_LINE_ITEMS,Water Usage Charges - Tier 1
ENERGY_SERVICE,SERVICE CHARGES - Drainage Service
SEWERAGE_SERVICE,SERVICE CHARGES - Sewer Service
SEWERAGE_SERVICE,SERVICE CHARGES - Trade Waste Charge
ENERGY_SERVICE,SERVICE CHARGES - Water Service
SEWERAGE_SERVICE,TRADEWASTE CHARGES - BOD / NFR Strength Charge
SEWERAGE_LINE_ITEMS,USAGE CHARGES - Sewer Usage
ENERGY_LINE_ITEMS,USAGE CHARGES - Water Usage Charges
OTHER_CHARGES,Environment Improvement - Environmental Improvement Charges
EXTRA_CHARGES,Other - Interest Charges
EXTRA_CHARGES,Other - Sewer Discharge Allowance
SEWERAGE_SERVICE,Sewer Service - Sewer Service Charges
SEWERAGE_LINE_ITEMS,Sewer Usage - Sewer Usage Charges
ENERGY_SERVICE,Water Service - Water Service Charges
ENERGY_LINE_ITEMS,Water Usage - Water Usage Charges - Tier 1
ENERGY_SERVICE,Drainage Service - Drainage Service
SEWERAGE_SERVICE,Sewer Service - Sewer Service
SEWERAGE_LINE_ITEMS,Sewer Usage - Sewer Usage
ENERGY_SERVICE,Water Service - Water Service
ENERGY_SERVICE,ADJUSTMENTS/CREDITS - Trade Waste Application Fee - Minor
SEWERAGE_LINE_ITEMS,Sewerage Services - Sewage disposal charge
SEWERAGE_SERVICE,Sewerage Services - Sewerage service charge
ENERGY_SERVICE,Sewerage Services - Trade waste category 2
ENERGY_SERVICE,Water Services - Water service charge 2024/25
ENERGY_LINE_ITEMS,Water Usage - State Bulk Water Charge 2024/25
NETWORK_LINE_ITEMS,Water Usage - Tier 1 usage 2024/25
NETWORK_LINE_ITEMS,Water Usage - Tier 2 usage 2024/25
ENERGY_SERVICE,Service charges - Water Service Charge 20mm Tallangatta
ENERGY_LINE_ITEMS,Volume charges - Water Usage Tallangatta
SEWERAGE_SERVICE,Sewerage Service Charge Yarrawonga
ENERGY_SERVICE,Water Service Charge 50mm Yarrawonga
ENERGY_LINE_ITEMS,Water Usage Yarrawonga
ENERGY_SERVICE,Service charges - Fire Service Charge
SEWERAGE_SERVICE,Service charges - Sewerage Service Charge Benalla
ENERGY_SERVICE,Service charges - Water Service Charge 100mm Benalla
ENERGY_LINE_ITEMS,Volume charges - Water Usage Benalla
SEWERAGE_SERVICE,Sewerage Service Charge Beechworth
ENERGY_SERVICE,Water Service Charge 25mm Beechworth
ENERGY_LINE_ITEMS,Water Usage Beechworth
ENERGY_SERVICE,Service Charges - Water Service Charge 20mm
SEWERAGE_SERVICE,Service charges - Sewerage Service Charge Bright
ENERGY_SERVICE,Service charges - Water Service Charge 20mm Bright
ENERGY_LINE_ITEMS,Volume charges - Water Usage Bright
SEWERAGE_SERVICE,Service charges - Sewerage Service Charge Wangaratta
ENERGY_SERVICE,Service charges - Water Service Charge 80mm Wangaratta
ENERGY_LINE_ITEMS,Volume charges - Water Usage Wangaratta
ENERGY_LINE_ITEMS,Water Usage - Water Usage Treated
SEWERAGE_SERVICE,Wastewater - Wastewater Service Charge
SEWERAGE_LINE_ITEMS,Wastewater - Wastewater Volumetric Charge
ENERGY_SERVICE,Water - Water Service Charge
ENERGY_LINE_ITEMS,Water - Water Usage Treated
SEWERAGE_SERVICE,Commercial Trade Waste - Commercial Trade Waste
ENERGY_SERVICE,Water Service - Water Service Charge
NETWORK_OTHER,Water Usage - Water Usage Network Adjustment
NETWORK_OTHER,Water Usage Network Adjustment
SEWERAGE_SERVICE,Service Charges - Wastewater Service Charge
ENERGY_SERVICE,Service Charges - Water Service Charge
SEWERAGE_LINE_ITEMS,Water Usage - Wastewater Volumetric Charge
ENERGY_LINE_ITEMS,Water Usage - Water Usage Treated Network
ENERGY_LINE_ITEMS,Water Usage Treated Network - Water Usage Total
ENERGY_LINE_ITEMS,All Day Rate
ENERGY_LINE_ITEMS,"Peak Block 1 (First 10,000 kWh/month)"
ENERGY_LINE_ITEMS,Peak Block 2 (Remaining kWh/month)
ENERGY_LINE_ITEMS,T44 - All usage
DEMANDS,T44 - Demand Charge
ENERGY_SERVICE,T44 - Supply Charge
ENERGY_LINE_ITEMS,Off Peak Rate
ENERGY_LINE_ITEMS,Peak Rate
ENERGY_LINE_ITEMS,Shoulder Rate
ENERGY_LINE_ITEMS,All Day Charge
METERING,Metering Charge
ENERGY_LINE_ITEMS,Flat Charge
ENERGY_LINE_ITEMS,Off-Peak Charge
ENERGY_SERVICE,Service Charge
SEWERAGE_SERVICE,Wastewater - Sewer Services Charges
SERVICE_OTHER,Water - Environmental Projects Charge
SERVICE_OTHER,Environmental Projects Charge
EXTRA_CHARGES,Other charges - Refund Credit Balance
EXTRA_CHARGES,Charges and adjustments - Debt Collection - Referral Fee
EXTRA_CHARGES,Charges and adjustments - Overdue payment interest charges
EXTRA_CHARGES,Interest charges
EXTRA_CHARGES,Other charges - Change of Ownership - Balance Transfer
EXTRA_CHARGES,Change of Ownership - Balance Transfer
EXTRA_CHARGES,Change of Ownership
SEWERAGE_LINE_ITEMS,Wastewater - Wastewater usage charges
EXTRA_CHARGES,Other charges - Credit Note
SEWERAGE_SERVICE,Wastewater - Drainage Service
ENERGY_LINE_ITEMS,Energy Charges - Anytime Energy
ENERGY_SERVICE,Energy Charges - Daily Charge
DISCOUNTS,Credits - Pay-On-Time Discount
DISCOUNTS,Pay-On-Time Discount
ENERGY_LINE_ITEMS,Energy Charges - Anytime Energy Large User
DISCOUNTS,Energy Charges - Discount
ENERGY_SERVICE,Annual charges - Open area charge
ENERGY_OTHER,Annual charges - Permit charge
ENERGY_SERVICE,Activity-based charges - Inspection charge * 1 hours
ENERGY_SERVICE,Annual charge
ENERGY_OTHER,Inspection charge
METERING,Meter Reading charge
ENERGY_OTHER,Quality/Quantity Charges - BOD
ENERGY_OTHER,Quality/Quantity Charges - Copper
ENERGY_OTHER,Quality/Quantity Charges - Nickel
ENERGY_OTHER,Quality/Quantity Charges - Suspended solids
ENERGY_OTHER,Quality/Quantity Charges - TKN
ENERGY_OTHER,Quality/Quantity Charges - TP
ENERGY_LINE_ITEMS,Quality/Quantity Charges - Usage charge
ENERGY_OTHER,Quality/Quantity Charges - Zinc
ENERGY_OTHER,Annual charges - FOGMan charge x1 grease arrestor
ENERGY_SERVICE,Account Level Charges - Gas Supply Charge
EXTRA_CHARGES,Adjustment/Credit - Gas Step 1
EXTRA_CHARGES,Adjustment/Credit - Gas Step 2
ENERGY_LINE_ITEMS,Gas Charges - Gas Step 1
ENERGY_LINE_ITEMS,Gas Charges - Gas Step 2
METERING,Meter Read Fee
SEWERAGE_SERVICE,Sewer Charges
SEWERAGE_LINE_ITEMS,Sewerage Disposal Charge
ENERGY_LINE_ITEMS,Water Usage Charge
METERING,Other charges - Meter Read Fee
SEWERAGE_SERVICE,Service Charge - Sewer Charges
ENERGY_SERVICE,Service Charge - Water Service Charge
SEWERAGE_LINE_ITEMS,Water Charge - Sewerage Disposal Charge
ENERGY_LINE_ITEMS,Water Charge - Water Usage Charge
METERING,Account Level Charges - Metering Charges
ENERGY_LINE_ITEMS,Gas Charges - Gas
EXTRA_CHARGES,Once-off Charge - Gas Credit for Jan 2025 to April 2025
EXTRA_CHARGES,Gas Credit for Jan 2025 to April 2025
EXTRA_CHARGES,Adjustments - Credit for Early Payment
EXTRA_CHARGES,Credit for Early Payment
NETWORK_LINE_ITEMS,Network Charges - EA302 - Off Peak
ENERGY_LINE_ITEMS,Retail Charges - NSW Shoulder
NETWORK_LINE_ITEMS,Distribution Charges - First 50 GJ
NETWORK_LINE_ITEMS,Distribution Charges - Next 50GJ
NETWORK_LINE_ITEMS,Distribution Charges - Next 900GJ
ENERGY_SERVICE,Energy Charges - Gas Retail SA - Fixed Charge
ENERGY_LINE_ITEMS,Energy Charges - Gas Retail SA - Standard - Energy
MARKET,Market Charges - Gas AEMO SA - STTM Energy
ENERGY_OTHER,Energy Charges - Additional Gas
GREEN,Environmental Schemes - GreenPower (100%)
NETWORK_LINE_ITEMS,Network Charges - CMGO21 Off Peak Energy
NETWORK_LINE_ITEMS,Network Charges - CMGO21 Peak Energy
NETWORK_SERVICE,Network Charges - CMGO21 Service Charge
EXTRA_CHARGES,Credit Card Surcharge
EXTRA_CHARGES,Adjustments - Credit Card Surcharge
ENERGY_LINE_ITEMS,Energy Charges - Energy
MARKET,Market Charges - AEMO VIC DWGM Energy
NETWORK_LINE_ITEMS,Distribution Charges - First 10GJ MHQ
NETWORK_LINE_ITEMS,Distribution Charges - Next 40GJ MHQ
ENERGY_OTHER,Energy Charges - Additional Gas 24/03/2025
ENERGY_OTHER,Energy Charges - Additional Gas 26/03/2025
ENERGY_SERVICE,Energy Charges - Fixed Charge
MARKET,Market Charges - AEMO Distribution Meter
EXTRA_CHARGES,Aggregated MDQ Overrun Charge on 10/04/25 for 33.199GJs
NETWORK_LINE_ITEMS,Distribution Charges - First 50GJ CD
NETWORK_LINE_ITEMS,Distribution Charges - Next 1000GJ CD
NETWORK_LINE_ITEMS,Distribution Charges - Next 150GJ CD
NETWORK_LINE_ITEMS,Distribution Charges - Next 400GJ CD
MARKET,Market Charges - Gas AEMO NSW - STTM Energy
ENERGY_OTHER,Energy Charges - Additional Gas 11/09/2025
CAPACITIES,Network Charges - EA310 - Capacity
NETWORK_SERVICE,Network Charges - EA310 - Supply Charge
NETWORK_LINE_ITEMS,Network Charges - EA310 - Winter Off Peak
NETWORK_LINE_ITEMS,Network Charges - EA310 - Winter Peak
GREEN,Environmental Schemes - GreenPower (6%)
NETWORK_LINE_ITEMS,Network Charges - EA256 - Off Peak
NETWORK_LINE_ITEMS,Distribution Charges - First 50GJ
NETWORK_LINE_ITEMS,Distribution Charges - Next 150GJ
NETWORK_LINE_ITEMS,Distribution Charges - Next 250GJ
NETWORK_LINE_ITEMS,Distribution Charges - Next 75GJ
MARKET,Market Charges - Gas AEMO QLD - STTM Energy
CAPACITIES,Network Charges - NSP56 - Capacity
DEMANDS,Network Charges - NSP56 - Demand
NETWORK_LINE_ITEMS,Network Charges - NSP56 - Off Peak
NETWORK_LINE_ITEMS,Network Charges - NSP56 - Peak
NETWORK_LINE_ITEMS,Network Charges - NSP56 - Shoulder
NETWORK_SERVICE,Network Charges - NSP56 - Supply Charge
ENERGY_SERVICE,Retail Charges - Daily Supply Charge
ENERGY_SERVICE,Retail Charges (Business - Peak) - Daily Supply Charge
ENERGY_LINE_ITEMS,Retail Charges - Off Peak
ENERGY_LINE_ITEMS,Retail Charges - Peak
EXTRA_CHARGES,"Site SAAAAAD445 billed using best available data at time, subsequently changed"
DEMANDS,Network Charges - BLND1AB - Demand Peak
NETWORK_LINE_ITEMS,Network Charges - BLND1AB - Off Peak
NETWORK_LINE_ITEMS,Network Charges - BLND1AB - Peak
NETWORK_LINE_ITEMS,Network Charges - BLND1AB - Shoulder
NETWORK_SERVICE,Network Charges - BLND1AB - Supply Charge
ENERGY_SOLAR,RCTI Transactions - NSW Off PeakB
ENERGY_SOLAR,RCTI Transactions - NSW PeakB
ENERGY_SOLAR,RCTI Transactions - NSW ShoulderB
ENERGY_LINE_ITEMS,Energy Charges - Pass Through Energy 01/09/2024
ENERGY_LINE_ITEMS,Energy Charges - Pass Through Energy 02/09/2024
ENERGY_SERVICE,Energy Charges - Shell Energy Spot Fee
EXTRA_CHARGES,Interest On Overdue Balance
ENERGY_SERVICE,Water Services - Water service charge 2025/26
ENERGY_LINE_ITEMS,Water Usage - State Bulk Water Charge 2025/26
NETWORK_LINE_ITEMS,Water Usage - Tier 1 usage 2025/26
NETWORK_LINE_ITEMS,Water Usage - Tier 2 usage 2025/26
SEWERAGE_SERVICE,Commercial Trade Waste
EXTRA_CHARGES,Concession entitlement
ENERGY_SERVICE,Fire Service
SEWERAGE_SERVICE,Wastewater Service Charge
SEWERAGE_LINE_ITEMS,Wastewater Volumetric Charge
ENERGY_SERVICE,Water Service Charge
ENERGY_LINE_ITEMS,Water Usage Treated
DEMANDS,Capacity Demand Charge
METERING,Meter Service Charge
NETWORK_SERVICE,Network Access Charge
NETWORK_LINE_ITEMS,Network Off Peak Charge
ENERGY_LINE_ITEMS,Energy - Energy Off-Peak
ENERGY_LINE_ITEMS,Energy - Energy Peak
CERTIFICATES,Environmental - LRECs
CERTIFICATES,Environmental - SRECs
CERTIFICATES,Environmental - VEECs
MARKET,Market - AEMO Ancillary Fee
MARKET,Market - AEMO Market Fee
MARKET,Market - AEMO Market Fee (Daily)
DEMANDS,Network - Demand Charge (Jul-Nov)
NETWORK_LINE_ITEMS,Network - Network Anytime
DEMANDS,"Network Services Charges - Demand (High Season, Nov-Mar)"
NETWORK_SERVICE,Network Services Charges - Network Access Charge
NETWORK_LINE_ITEMS,Network Services Charges - Network Energy Charge
NETWORK_LINE_ITEMS,Network Services Charges - Network Solar Soak Charge
ENERGY_LINE_ITEMS,First 1650 units per day
ENERGY_LINE_ITEMS,More than 1650 units per day
EXTRA_CHARGES,Other charges - BOD Strength Charge
EXTRA_CHARGES,Other charges - TSS Strength Charge
EXTRA_CHARGES,Other charges - Trade Waste Inspection Fee
SEWERAGE_LINE_ITEMS,Wastewater - Wastewater Usage
ENERGY_LINE_ITEMS,Water - Water Usage
EXTRA_CHARGES,Other charges - Transfer from 22226851 PROPERTY & DEVELOPMENT NSW
EXTRA_CHARGES,Transfer from 22226851 PROPERTY & DEVELOPMENT NSW
EXTRA_CHARGES,Trade Waste - BOD Strength Charge
EXTRA_CHARGES,Trade Waste - TSS Strength Charge
EXTRA_CHARGES,Trade Waste - Trade Waste Inspection Fee
ENERGY_SERVICE,Service Charges - Backflow Prevention Device
ENERGY_SERVICE,Backflow Prevention Device
SEWERAGE_SERVICE,Service Charges - Commercial Trade Waste Category 4
ENERGY_SERVICE,Service Charges - Fire Service Access
SEWERAGE_SERVICE,Service Charges - Sewerage Service Charge
ENERGY_SERVICE,Service Charges - Water Service Charge 50mm
ENERGY_LINE_ITEMS,Volume Charges - Drinking Water Usage
EXTRA_CHARGES,Rebates / Allowances / Adjustments
SEWERAGE_LINE_ITEMS,Wastewater - Usage charges
ENERGY_LINE_ITEMS,Water - Usage charges
ENERGY_SERVICE,Daily Supply Charge
ENERGY_LINE_ITEMS,Electricity Usage Charge
ENERGY_SERVICE,Electricity Supply Charge
EXTRA_CHARGES,Late Payment Fee
EXTRA_CHARGES,QLD AUS Govt Energy Price Relief Plan Rebate
